Question,Answer
What is your physical location?,"Duel headquarters in US and Switzerland, and offices all over the world."
"Do you contract for hardware, software and services developed or provided by Kaspersky Labs, a company owned by Kaspersky Labs or any other covered entities pursuant to 52.204-23 of the US FAR regulation?",No
"Has your company suffered a data loss, personal data incident or security breach within the last 3 years?",No
Are there any material claims or judgments against your company?,No
Primary Business Address:,"7700 Gateway Blvd, Newark, CA"
Logitech employees and security,5000 employees and Logitech has a dedicated Cybersecurity team. 
Company description,Logitech is a consumer electronics company focused on designing and manufacturing.
Does Logitech have a designated leader responsible for information security?,Yes
Name of Information Security leader?,Tana Dubel
Title,CISO
Role,Chief Information Security Officer
Does Logitech employ an information security team?,Yes
Number of full-time information security personnel?,19
Does Logitech employ an incident response officer?,Logitech is in the process of hiring an incident response officer
Name of incident response officer?,N/A
Title,N/A
Email,N/A
Phone,N/A
"Does Logitech outsource information security functions to a third party? If yes, please provide the name and scope of services provided in the comments section.",No
"Does Logitech maintain cyber liability insurance in addition to general liability insurance? If Yes, please explain how much in the comments section.",Yes
Does Logitech have any employees or physical office locations outside of the United States?,Yes
"Is any PPFA data accessed, transmitted, or stored outside of the United States?",No
What year was Logitech founded?,1981
Approximately how many people does Logitech employ?,5000
"Has Logitech ever experienced a data breach? If so, please explain in the comments section.",No
Is there a current BAA in place?,No
"Does Logitech utilize any subcontractors with access PPFA data? If yes, please provide the name of the subcontractor(s) in the comments section.",No
"Please describe how your organization obtains data from PPFA. Include file type(s) and the medium(s) utilized to transmit the data (e.g., SFTP, Encrypted email).",HTTPS/SSL
PHI (Protected Health Information),NO
Intellectual Property,NO
Financial Property,NO
PII (Personally Identifiable Information),"Yes, Sync access user name and password"
PCI (Payment Card Industry),NO
Employee Information,NO
"Do you have a designated responsible leader for information security? If so, please explain their title and role in the comments section.","Yes , CISO Tana Dubel"
"SOC (indicate SOC 1, 2 or 3 and type 1 or 2)",NO
HITRUST,NO
PCI Compliance,NO
ISO 27001,NO
FedRAMP,NO
HIPAA (please provide type of assessment performed and certifying organization in the comments section),NO
NIST (please provide type of assessment performed and certifying organization in the comments section),NO
"Do you maintain cyber liability insurance in addition to general liability insurance? If Yes, please explain how much in the comments section.",YES
"Do you use any employees, contractors or subcontractors outside of the United States?",YES
"Do any of your subcontractors (foreign or domestic) have access to sensitive and/or confidential data? If yes, please name the companies and services they provide to you in the comments section.",NO
"Do you conduct background checks for all employees, contractors and subcontractors?  If not, for which areas/positions do you require a background check. Please explain in the comments section.",YES
"Is this a remote hosted or cloud system? If yes, please answer the following questions.",YES
Do you have any data centers outside of the United States?,YES
Can data be restricted to be stored only within the United States?,"YES ,Currently data in Sync is only in the United States"
Will data be stored at an encrypted data center?,YES
"What certifications does your data center have or external, independent validations of the following:?","YES , https://aws.amazon.com/compliance/programs"
"What certifications does your data center have or external, independent validations of the following:? SOC (indicate SOC 1, 2, or 3 and type 1 or 2)","YES , https://aws.amazon.com/compliance/programs"
"What certifications does your data center have or external, independent validations of the following:? PCI Compliance",Yes
"What certifications does your data center have or external, independent validations of the following:? HITRUST",Yes
