"Task","Status","Remediation Status","Score","Project","Org. Unit","Risk","Assignee","Reviewer","Approver","Due Date","Comments"
"Assessee Name","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","colin morrison"
"Assessee Job Title","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","it risk manager"
"Assessee Contact Information","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","cmorrison1"
"Names and titles/functions of individuals who contributed to this questionnaire","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","GRC team"
"Date of Response","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","23/05/2022"
"Name of the holding or parent company","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Logitech is a consumer electronics company focused on designing and manufacturing."
"Company/business name","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Logitech is a consumer electronics company focused on designing and manufacturing.
"
"Publicly or privately held company?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, could you say that again?"
"Type of legal entity and state of incorporation","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","YES"
"How long has the company been in business?","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","I missed what you said. What was that?"
"Has the organization been named in any of the following?","Submitted","","4 responses","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"Has your company suffered a data loss or security breach within the last 3 years?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"Has any of your Third Party Vendors suffered a data loss or security breach within the last 3 years?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"Are the answers in this questionnaire for only one facility or geographic location? If yes, provide description of physical location (address, city, state, country).","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, can you say that again?"
"Backup site physical address","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"Any additional locations where Scoped Systems and Data is stored","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, I didn't get that. Can you rephrase?"
"Are the answers to this questionnaire for only one specific type of service? If yes, describe the service.","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","SYNC"
"Are software applications provided?","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","YES"
"List the applications provided that are in scope.","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Can you say that again?"
"Identify the applications which are covered by the secure software development lifecycle.","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Logitech conducts security testing by third-party
security consultants to identify vulnerabilities. Such
Static Application Security Testing (SAST), Dynamic
Application Security Testing (DAST), and cloud service
configuration assessment align with but are not limited
to, common security weaknesses as outlined in the
Open Web Application Security Project (OWASP) and
MITRE’s Common Weakness Enumeration(CWE). Should
any vulnerabilities appear within the context of testing,
Logitech will remediate all security issues as identified by
the vendor. While the third-party security assessment is
done on major releases, Logitech also runs in-house SAST
and DAST during development cycles."
"What type of software is being provided? Select all that apply","Submitted","","Custom Developed","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"Information Security policies and procedures. (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","No,Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally"
"Copy of internal or external information security audit report (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","""Annual 3rd party cybersecurity audit, that performs pen tests. Externally, Sync cloud service procured 3rd party application security assessment tests covering dynamic test (DSAT), static analysis (SAST) and cloud security review.
Logitech also runs internal SAST and DSAT. """
"Information technology and security organization charts (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","yes"
"Physical Security policy and procedures (building and/or restricted access) (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","No,Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally"
"Third party security reviews/assessments/penetration tests (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Third party. Logitech initiates penetration tests on major releases."
"Legal clauses and confidentiality templates for third parties (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","blank"
"Topics covered in the security training program (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","yes"
"Security incident handling and reporting process (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","yes"
"Network configuration diagrams for internal and external networks defined in scope. (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, could you say that again?"
"System and network configuration standards (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Can you say that again?"
"System backup policy and procedures (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes"
"Offsite storage policy and procedures (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , https://www.logitech.com/en-roeu/legal/product-privacy-policy.html"
"Vulnerability and threat management scan policy and procedures (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","No , confidential and we do not share"
"Application security policy (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , https://www.logitech.com/en-roeu/legal/product-privacy-policy.html"
"Change control policy/procedures (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","No,Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally
"
"Problem management policy/procedures (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","No,Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally"
"Certification of proprietary encryption algorithms (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","yes"
"Internal vulnerability assessments of systems, applications, and networks (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","yes"
"Software development and lifecycle (SDLC) process document (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"Business Resiliency (continuity plan) (BCP) and/or Disaster Recovery Plan (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","yes"
"Most recent BCP/DR test dates and results (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Say that one more time?"
"Most recent AUP/SSAE16/SOC2 audit report(s) (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","no"
"Privacy Policies (internal, external, web) (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","Privacy Policies (internal, external, web) (Please Attach)"
"Executive Summary of certificates held. (e.g. PCI, HIPAA, ISO) (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","n/a
"
"Performance Reports against contracted SLAs (Please Attach)","Submitted","","Comments only","Level 1","chatbot v1","","chat bot","","","6/29/2022","I missed that, say that again?"
"1) Is there a risk assessment program that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the program?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , Internal Audit and GRC Team"
"1a) A Program to manage the treatment of risks identified during assessments?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , This documentation is confidential and for internal use only. "
"1b) A formal process for assigning appropriate management ownership for each risk?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , This documentation is confidential and for internal use only. "
"1c) A formal process for appropriate management knowingly and objectively accepting risks and approving action plans?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","A formal process for appropriate management knowingly and objectively accepting risks and approving action plans?"
"1d) A formal process for tracking the status of action plans and reporting them to management?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"1e) Controls identified for each material risk?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you repeat?"
"1f) Measures for defining, monitoring, and reporting risk metrics?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"2) Do Subcontractors have access to Scoped Systems and Data? (backup vendors, service providers, equipment support maintenance, software maintenance vendors, data recovery vendors, etc.)?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I missed that, say that again?"
"3) Is there a vendor management program?","Submitted","","No","Level 1","chatbot v1","","chat bot","","","6/29/2022","Logitech’s policies and procedures are confidential and for internal use only, it is not shared externally"
"4) Do external parties have access to Scoped Systems and Data or processing facilities?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"5) Is the maturity of IT management processes formally evaluated at least annually using an established benchmark (e.g., COBIT maturity models)?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I missed that, say that again?"
"6) Are there regular privacy risk assessments conducted? If yes, provide frequency and scope. If no, explain reason.","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , This documentation is confidential and for internal use only. "
"7) Are identified privacy risks and associated mitigation plans formally documented and reviewed by management?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"8) Are reasonable resources (in time and money) allocated to mitigating identified privacy risks?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"9) Is there a compliance risk management system that addresses the quality and accuracy of reported consumer data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"10) Is there a compliance risk management system that addresses the quality of assembling and maintaining the data?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , Internal Audit and GRC Team"
"11) Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"12) Have the policies been reviewed in the last 12 months?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"13) Is there a respondent information security function responsible for security initiatives?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"14) Is there an asset management policy approved by management, communicated to staff and an owner to maintain and review?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , Internal Audit and GRC Team"
"15) Are information assets classified?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"16) Is there a removable media policy or program (CDs, DVDs, tapes, disk drives) that has been approved by management, communicated to appropriate staff, and an owner to maintain and review the policy?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"17) Is Scoped Data sent or received via physical media?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"18) Are encryption tools managed and maintained for Scoped Data? If yes:","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","No, ""Logitech's Corporate IT: Yes, we use cryptographic controls in the Logitech company infrastructure.
Logitech Sync: Yes, built on AWS IoT. Encryption in transit: TLS 1.2 over port 443. Encryption at rest: RSA & SHA-256. End to End Encryption.
Logitech devices: Logitech devices use on-device encryption and TLS for network-based communication. For information on the use of cryptographic controls on computers running Microsoft Teams Rooms application, please refer to Microsoft documentation:"""
"19) Are clients provided with the ability to generate a unique encryption key?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022","Yes , AES-256 algorithm (256 bit key)"
"20) Are clients provided with the ability to rotate their encryption key on a scheduled basis?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I missed what you said. What was that?"
"21) Are staff able to access client Scoped Data in an unencrypted state?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Can you say that again?"
"22) Are staff able to access client's encryption keys?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","N/A AWS data centre"
"23) Is data segmentation and separation capability between clients provided?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Sorry, can you say that again?"
"24) Does the ability exist to legally demonstrate sufficient data segmentation, in the event of a client subpoena or a forensics incident, so as not to impact other clients' data if using resource pooling?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you repeat?"
"25) Is there a data classification retention program that identifies the data types that require additional management and governance?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","can you say that again"
"26) Is there a self-service portal or API call available to clients which provides the ability to place a ""Legal hold"" on client data which may be subject to a legal action, without impacting other clients' data retention or destruction schedules?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","Say that one more time?"
"27) Is sensitive personal information (e.g., personal information specifying credit card numbers, medical or health conditions, racial or ethnic origin, or the sex life of an individual) encrypted when it is at rest (storage) or in transit?","Submitted","","Not applicable","Level 1","chatbot v1","","chat bot","","","6/29/2022","I didn't get that. Can you say it again?"
"28) Is there a Human Resource policy approved by management, communicated to staff and an owner to maintain and review? If yes, does it include:","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
"27a) Does your Human Resource Policy include Security Roles and Responsibilities?","Submitted","","Yes","Level 1","chatbot v1","","chat bot","","","6/29/2022",""
